"LANGUAGE","Türkçe"
"LBR_150_TIT","Yaşam Döngüsü Dengesi - Tekrar Düzenlenmiş Versiyonu 1.5 versiyonuna güncellenmiştir"
"LBR_150_NT1","Ulaşım modu seçenekler artık seçenekler panelinden değiştirillebilecektir. Çevreci ve normal yerleşimler artık ayrı seçeneklere sahipler."
"LBR_150_NT2","Şehre göç eden insanların eğitim seviyeleri değiştirilebilir."
"LBR_151_NT1","Seçenekler panelinin düzenini çeviriler için ayarla"
"LBR_152_NT1","Ebeveynsiz evler olmaması için reşit olmayan çocuklu ebeveynler erken ölmeyecektir."
"LBR_152_NT2","Mod çakışması kontrolü ve bildirimi iyileştirildi."
"LBR_152_NT3","Güncelleme bildirimleri iyileştirildi."
"LBR_154_NT1","Change treatment of single parent death: remove orphaned children when both parents die (instead of sparing parent from death)"
"LBR_154_NT2","Add code to check for and remove building residents with invalid data"
"LBR_160_NT1","MAJOR NEW FEATURE: realistic early life ageing and progress, from early childhood to young adult (optional, customizable)"
"LBR_160_NT2","New early life ageing is matched to real-world values and stages and includes a pre-school stage of life (young children)"
"LBR_160_NT3","This option can be enabled/disabled and customized in the mod's options panel"
"LBR_160_NT4","NOTE: this option is initially enabled by default"
