"LANGUAGE","Nederlands"
"LBR_IMM_INC","Vergroot het gemiddelde opleidingsniveau van immigranten"
"LBR_IMM_DEC","Verminder het gemiddelde opleidingsniveau van immigranten"
"LBR_SET","Instellingen"
"LBR_SET_LGD","Log sterfgevallen naar 'Lifecycle death log.txt'"
"LBR_SET_LGI","Log immigratie naar 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","Log aangepaste transportkeuzes naar 'Lifecycle transport log.txt' WAARSCHUWING - TRAAG!"
"LBR_SET_LGS","Log ziektegevallen in 'Lifecycle sickness log.txt'"
"LBR_SPD","Snelheid"
"LBR_SPD_FAC","Factor waarmee de veroudering van inwoners vertraagd wordt, vergeleken met het basisspel."
"LBR_SPD_FN1","1 is snelheid basisspel (35 weken in het spel is gelijk aan 10 levensjaren), 2 is twee keer zo langzaam (70 weken in het spel voor 10 levensjaren), 3 = drie keer zo langzaam etc. Een factor van 15 betekent dat inwoners ongeveer één jaar zullen verouderen voor elk jaar in het spel."
"LBR_SPD_FN2","Heeft geen invloed op levenscyclus of leeftijd - alleen hoe snel inwoners verouderen t. o. v. de spelsnelheid."
"LBR_SPD_FN3","(Standaard spel 1, standaard mod 3)"
"LBR_TRN","Vervoer"
"LBR_TRN_CUS","Gebruik aangepaste waarschijnlijkheid voor transportvormen"
"LBR_TRN_WEA","Welvaartsniveau"
"LBR_TRN_CAR","Waarschijnlijkheid autogebruik (%)"
"LBR_TRN_BIK","Waarschijnlijkheid fietsgebruik (%)"
"LBR_TRN_TAX","Waarschijnlijkheid taxigebruik (%)"
"LBR_TRN_RLO","Woningbouw dunbevolkt"
"LBR_TRN_RHI","Woningbouw dichtbevolkt"
"LBR_TRN_RW2","Muur tegen muur (Residentieel)"
"LBR_TRN_ERL","Duurzame woningbouw dunbevolkt"
"LBR_TRN_ERH","Duurzame woningbouw dichtbevolkt"
"LBR_TRN_CHL","Kind"
"LBR_TRN_TEN","Tiener"
"LBR_TRN_YAD","Adolescent"
"LBR_TRN_ADL","Volwassene"
"LBR_TRN_SEN","Senior"
"LBR_DEF","standaard"
"LBR_RTD","Terugezetten naar standaardwaarden"
"LBR_RTS","Terugkeren naar opgeslagen waarden"
"LBR_SAA","Opslaan en toepassen"
"LBR_ZRO","Alles op nul zetten"
"LBR_150_TIT","Lifecycle Rebalance Revisited is bijgewerkt naar versie 1.5"
"LBR_150_NT1","Keuzes voor transportvormen kunnen nu bewerkt worden in opties, voor duurzame en reguliere woonwijken kunnen nu ook verschillende vormen ingesteld worden"
"LBR_150_NT2","Opleidingsniveau van immigranten kan aangepast worden"
"LBR_151_NT1","Pas de lay-out van opties aan voor vertalingen"
"LBR_152_NT1","Alleenstaande ouders met inwonende kinderen worden gespaard van vroegtijdig overlijden om wees-huishoudens te helpen voorkomen"
"LBR_152_NT2","Verbeterde mod conflict detectie en notificatie"
"LBR_152_NT3","Verbeterde updatemeldingen"
"LBR_154_NT1","Behandeling van sterfte enkele ouder wijzigen: verwijder weeskinderen wanneer beide ouders sterven (in plaats van het voorkomen van sterfte bij enkele ouder)"
"LBR_154_NT2","Voeg code toe om te checken op en verwijderen van inwoners in een gebouw met ongeldige data"
"LBR_160_NT1","BELANGRIJKE NIEUWE FUNCTIE: realistisch ontwikkeling van jeugd, van vroege kindertijd tot adolescent (optioneel, aanpasbaar)"
"LBR_160_NT2","De jeugdige ontwikkeling is afgestemd op waarden en fasen in de echte wereld en omvat een voorschoolse levensfase (jonge kinderen)"
"LBR_160_NT3","Deze optie kan worden in-/uitgeschakeld en aangepast in de opties van de mod"
"LBR_160_NT4","NOTITIE: deze optie is initieel standaard ingeschakeld"
