"LANGUAGE","Français"
"LBR_TRN_WEA","Niveau de richesse"
"LBR_TRN_CAR","Probabilité d'utilisation de la voiture (%)"
"LBR_TRN_BIK","Probabilité d'utilisation du vélo (%)"
"LBR_TRN_TAX","Probabilité d'utilisation du taxi (%)"
"LBR_TRN_RLO","Résidentiel bas"
"LBR_TRN_RHI","Résidentiel élevé"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","Eco résidentiel bas"
"LBR_TRN_ERH","Eco résidentiel haut"
"LBR_TRN_CHL","Enfant"
"LBR_TRN_TEN","Adolescent"
"LBR_TRN_YAD","Jeune adulte"
"LBR_TRN_ADL","Adulte"
"LBR_TRN_SEN","Sénior"
"LBR_DEF","défaut"
"LBR_RTD","Réinitialiser les paramètres par défaut"
"LBR_RTS","Revenir à enregistré"
"LBR_SAA","Enregistrer et postuler"
"LBR_ZRO","Mettre tout à zéro"
"LBR_150_TIT","Lifecycle Rebalance Revisited a été mis à jour vers la version 1.5"
"LBR_150_NT1","Les choix du mode de transport peuvent désormais être modifiés via le panneau d'options, et les options eco et le mode résidentiel ordinaire peut avoir différents choix de mode "
"LBR_150_NT2","Les niveaux d'éducation des personnes qui s'installent dans votre ville peuvent être modifiés"
"LBR_151_NT1","Ajuster la disposition du panneau d'options pour les traductions"
"LBR_152_NT1","Les parents isolés ayant des enfants mineurs vivant à la maison seront épargnés de mort précoce, pour aider à prévenir les ménages orphelins "
"LBR_152_NT2","Vérification et notification des conflits de mod améliorées"
"LBR_152_NT3","Notifications de mise à jour améliorées"
"LBR_154_NT1","Modifier le traitement du décès d'un seul parent : retirer les enfants orphelins lorsque les deux parents meurent (au lieu d'épargner un des deux parents de la mort)"
"LBR_154_NT2","Ajoute un code pour rechercher et retirer les résidents de batiments avec des données invalides"
"LBR_160_NT1","NOUVELLE FONCTIONNALITÉ MAJOR : vieillissement réaliste de la vie précoce et progrès, de la petite enfance au jeune adulte (facultatif, personnalisable)"
"LBR_160_NT2","Le nouveau vieillissement précoce correspond aux valeurs et aux étapes du monde réel et inclut une phase de vie préscolaire (jeunes enfants)"
"LBR_160_NT3","Cette option peut être activée/désactivée et personnalisée dans le panneau des options du mod"
"LBR_160_NT4","REMARQUE : cette option est initialement activée par défaut"
