"LANGUAGE","Deutsch"
"LBR_SET_LGS","Krankheitsausbrüche protokollieren in 'Lifecycle sickness log.txt'"
"LBR_SPD","Geschwindigkeit"
"LBR_SPD_FAC","Faktor, um das Altern der Cims zu verlangsamen, im Vergleich zum Basisspiel."
"LBR_SPD_FN1","1 ist die Grundgeschwindigkeit des Spiels (35 Wochen im Spiel entsprechen 10 Jahren), 2 ist doppelt so langsam (70 Wochen im Spiel für 10 Jahre), 3 ist dreimal so langsam usw. Ein Multiplikator von 15 bedeutet, dass die Bürger für jedes Spieljahr ungefähr ein Jahr älter werden."
"LBR_SPD_FN2","Beeinflusst nicht den Lebenszyklus oder das Alter - nur die Geschwindigkeit in der Bürger im Verhältnis zur Simulationsgeschwindigkeit altern."
"LBR_SPD_FN3","(Spiel Standard 1, Mod Standard 3)"
"LBR_TRN","Transport"
"LBR_TRN_CUS","Benutze benutzerdefinierte Transportmoduswahrscheinlichkeiten"
"LBR_TRN_WEA","Wohlstandsniveau"
"LBR_TRN_CAR","Auto-Nutzungswahrscheinlichkeit (%)"
"LBR_TRN_BIK","Fahrrad-Nutzungswahrscheinlichkeit (%)"
"LBR_TRN_TAX","Taxi-Nutzungswahrscheinlichkeit (%)"
"LBR_TRN_RLO","Wohnhäuser niedrig"
"LBR_TRN_RHI","Wohnhäuser hoch"
"LBR_TRN_RW2","Wohngebiet Wand-an-Wand"
"LBR_TRN_ERL","Öko Wohnhäuser niedrig"
"LBR_TRN_ERH","Öko Wohnhäuser hoch"
"LBR_TRN_CHL","Kind"
"LBR_TRN_TEN","Teenager"
"LBR_TRN_YAD","Junger Erwachsene"
"LBR_TRN_ADL","Erwachsene"
"LBR_TRN_SEN","Senior"
"LBR_DEF","Standard"
"LBR_RTD","Auf Standard zurücksetzen"
"LBR_RTS","Sicherung wiederherstellen"
"LBR_SAA","Speichern und Anwenden"
"LBR_ZRO","Alle Werte auf Null setzen"
"LBR_150_TIT","Lifecycle Rebalance Revisited wurde auf Version 1.5 aktualisiert"
"LBR_150_NT1","Die Auswahlmöglichkeiten für den Transportmodus können jetzt über das Optionsfeld bearbeitet werden und für Öko- und gewöhnliche Wohnhäuser können unterschiedliche Modusoptionen ausgewählt werden"
"LBR_150_NT2","Das Bildungsniveau von Menschen, die in die Stadt ziehen, kann geändert werden"
"LBR_151_NT1","Layout des Optionsfelds für Übersetzungen anpassen"
"LBR_152_NT1","Alleinerziehende mit minderjährigen Kindern, die zu Hause leben, werden vor einem frühen Tod bewahrt, um Waisenhaushalte zu vermeiden"
"LBR_152_NT2","Verbesserte Mod-Konfliktprüfung und Benachrichtigung"
"LBR_152_NT3","Verbesserte Update-Benachrichtigungen"
"LBR_154_NT1","Änderung beim Tod von Alleinerziehenden: Das verwaiste Kind wird entfernt, wenn beide Eltern sterben (statt Eltern vor dem Tod zu bewahren)"
"LBR_154_NT2","Code hinzufügen zum Prüfen und Entfernen von Gebäudebewohnern mit ungültigen Daten"
"LBR_160_NT1","NEUE ZUSÄTZLICHE FUNKTION: Realistische Steuerung der Verhaltensweisen im Kindesalter und der Fortschritt, der von früher Kindheit zu jungem Erwachsenen gemacht wird (Optional, einstellbar)"
"LBR_160_NT2","Die frühe Kindheit ist angepasst auf reale Werte und Altersstufen und beinhaltet ein Vorschulalter (Kleinkinder)"
"LBR_160_NT3","Diese Einstellung kann in den Optionen de-/aktiviert und angepasst werden"
"LBR_160_NT4","HINWEIS: Diese Funktion ist standardmäßig aktiviert"
